ano,mes,total
2013,4,7
2013,5,7
2013,6,1
2013,8,2
2013,10,203
2013,11,534
2013,12,469
2014,1,450
2014,2,440
2014,3,616
2014,4,551
2014,5,610
2014,6,652
2014,7,532
2014,8,525
2014,9,634
2014,10,737
2014,11,512
2014,12,578
2015,1,505
2015,1,0
2015,2,615
2015,2,0
2015,3,646
2015,3,0
2015,4,586
2015,4,0
2015,5,629
2015,6,670
2015,7,658
2015,8,467
2015,9,636
2015,10,635
2015,11,659
2015,12,502
2016,1,577
2016,2,667
2016,3,778
2016,4,850
2016,5,790
2016,6,1028
2016,7,823
2016,8,832
2016,9,1124
2016,10,1030
2016,11,785
2016,12,883
2017,1,771
2017,2,786
2017,3,855
2017,4,1051
2017,5,959
2017,6,1018
2017,7,1123
2017,8,889
2017,9,1158
2017,10,1047
2017,11,929
2017,12,648
2018,1,667
2018,2,749
2018,3,651
2018,4,806
2018,5,921
2018,6,931
2018,7,1086
2018,8,774
2018,9,1117
2018,10,870
2018,11,699
2018,12,710
2019,1,830
2019,2,784
2019,3,938
2019,4,786
2019,5,966
2019,6,1173
2019,7,1168
2019,8,945
2019,9,1085
2019,10,885
2019,11,559
2019,12,729
2020,1,714
